HW,emmean,SE,df,lower.CL,upper.CL
Before,99.26369114852835,3.4518062725339234,10.656765486755997,91.63635524627982,106.89102705077688
During,85.14631095507288,4.378595083294453,12.014265629709383,75.60742802625649,94.68519388388927
Adjacent,71.4659263118714,5.8076298948883736,9.548304211345023,58.44226192223455,84.48959070150825
After,89.68811442200345,4.727027273686798,9.429321213029462,79.06859395220712,100.30763489179978
