date,temp,shum.predict,temp.final
2019-10-01,7.388785,NA,7.388785
2019-10-02,7.53714166666667,NA,7.53714166666667
2019-10-03,7.75745833333333,NA,7.75745833333333
2019-10-04,8.01349166666667,NA,8.01349166666667
2019-10-05,8.20549583333333,NA,8.20549583333333
2019-10-06,8.1923375,NA,8.1923375
2019-10-07,8.11418333333333,NA,8.11418333333333
2019-10-08,8.07647083333333,NA,8.07647083333333
2019-10-09,8.10538333333333,NA,8.10538333333333
2019-10-10,7.921075,NA,7.921075
2019-10-11,7.81877083333333,NA,7.81877083333333
2019-10-12,7.82018333333333,NA,7.82018333333333
2019-10-13,7.7876625,NA,7.7876625
2019-10-14,7.86505416666667,NA,7.86505416666667
2019-10-15,8.35255,NA,8.35255
2019-10-16,8.45555416666667,NA,8.45555416666667
2019-10-17,8.8507875,NA,8.8507875
2019-10-18,8.4842375,NA,8.4842375
2019-10-19,8.23429583333333,NA,8.23429583333333
2019-10-20,8.34180833333333,NA,8.34180833333333
2019-10-21,8.4867375,NA,8.4867375
2019-10-22,8.59525,NA,8.59525
2019-10-23,8.722825,NA,8.722825
2019-10-24,9.3295125,NA,9.3295125
2019-10-25,8.57028333333333,NA,8.57028333333333
2019-10-26,8.29577083333333,NA,8.29577083333333
2019-10-27,8.3101,NA,8.3101
2019-10-28,8.00802916666667,NA,8.00802916666667
2019-10-29,7.99160833333333,NA,7.99160833333333
2019-10-30,8.1079875,NA,8.1079875
2019-10-31,8.258725,NA,8.258725
2019-11-01,8.3336625,NA,8.3336625
2019-11-02,8.44047083333333,NA,8.44047083333333
2019-11-03,8.44315,NA,8.44315
2019-11-04,8.66354166666667,NA,8.66354166666667
2019-11-05,8.78359166666667,NA,8.78359166666667
2019-11-06,8.4610625,NA,8.4610625
2019-11-07,8.72303333333333,NA,8.72303333333333
2019-11-08,8.85080833333333,NA,8.85080833333333
2019-11-09,8.69535,NA,8.69535
2019-11-10,8.77190833333333,NA,8.77190833333333
2019-11-11,8.84511666666667,NA,8.84511666666667
2019-11-12,8.8886125,NA,8.8886125
2019-11-13,8.77858333333333,NA,8.77858333333333
2019-11-14,8.93992916666667,NA,8.93992916666667
2019-11-15,8.8400375,NA,8.8400375
2019-11-16,8.84329166666667,NA,8.84329166666667
2019-11-17,8.7931,NA,8.7931
2019-11-18,8.71710833333333,NA,8.71710833333333
2019-11-19,8.72266666666667,NA,8.72266666666667
2019-11-20,8.61434583333333,NA,8.61434583333333
2019-11-21,8.57726666666667,NA,8.57726666666667
2019-11-22,8.56725833333333,NA,8.56725833333333
2019-11-23,8.56382916666667,NA,8.56382916666667
2019-11-24,8.52010416666667,NA,8.52010416666667
2019-11-25,8.46419166666667,NA,8.46419166666667
2019-11-26,8.41410416666667,NA,8.41410416666667
2019-11-27,8.37419166666667,NA,8.37419166666667
2019-11-28,8.34140416666667,NA,8.34140416666667
2019-11-29,8.219775,NA,8.219775
2019-11-30,8.07329583333333,NA,8.07329583333333
2019-12-01,8.070875,NA,8.070875
2019-12-02,8.08005,NA,8.08005
2019-12-03,8.04348333333333,NA,8.04348333333333
2019-12-04,7.98315,NA,7.98315
2019-12-05,7.920825,NA,7.920825
2019-12-06,7.8914208333333304,NA,7.8914208333333304
2019-12-07,8.03274166666667,NA,8.03274166666667
2019-12-08,8.0860625,NA,8.0860625
2019-12-09,8.02230416666667,NA,8.02230416666667
2019-12-10,8.06794166666667,NA,8.06794166666667
2019-12-11,7.94282083333333,NA,7.94282083333333
2019-12-12,7.97430416666667,NA,7.97430416666667
2019-12-13,7.88072083333333,NA,7.88072083333333
2019-12-14,7.8650375,NA,7.8650375
2019-12-15,7.67290833333333,NA,7.67290833333333
2019-12-16,7.68505833333333,NA,7.68505833333333
2019-12-17,7.45170833333333,NA,7.45170833333333
2019-12-18,7.38071666666667,NA,7.38071666666667
2019-12-19,7.388,NA,7.388
2019-12-20,7.07509583333333,NA,7.07509583333333
2019-12-21,6.90136666666667,NA,6.90136666666667
2019-12-22,6.8458,NA,6.8458
2019-12-23,6.78122083333333,NA,6.78122083333333
2019-12-24,6.698525,NA,6.698525
2019-12-25,6.57745833333333,NA,6.57745833333333
2019-12-26,6.44701666666667,NA,6.44701666666667
2019-12-27,6.26312083333333,NA,6.26312083333333
2019-12-28,6.2166875,NA,6.2166875
2019-12-29,6.15588333333333,NA,6.15588333333333
2019-12-30,6.0429875,NA,6.0429875
2019-12-31,5.97464166666667,NA,5.97464166666667
2020-01-01,5.75965,NA,5.75965
2020-01-02,5.64178333333333,NA,5.64178333333333
2020-01-03,5.5283375,NA,5.5283375
2020-01-04,5.37871666666667,NA,5.37871666666667
2020-01-05,5.41600833333333,NA,5.41600833333333
2020-01-06,5.367775,NA,5.367775
2020-01-07,5.34625,NA,5.34625
2020-01-08,5.29440416666667,NA,5.29440416666667
2020-01-09,5.33179166666667,NA,5.33179166666667
2020-01-10,5.43745,NA,5.43745
2020-01-11,5.37892916666667,NA,5.37892916666667
2020-01-12,5.537025,NA,5.537025
2020-01-13,5.51756666666667,NA,5.51756666666667
2020-01-14,5.49527083333333,NA,5.49527083333333
2020-01-15,5.50668333333333,NA,5.50668333333333
2020-01-16,5.43079166666667,NA,5.43079166666667
2020-01-17,5.3095,NA,5.3095
2020-01-18,5.21990833333333,NA,5.21990833333333
2020-01-19,5.20300416666667,NA,5.20300416666667
2020-01-20,5.1564625,NA,5.1564625
2020-01-21,5.12960833333333,NA,5.12960833333333
2020-01-22,5.16190416666667,NA,5.16190416666667
2020-01-23,5.14546666666667,NA,5.14546666666667
2020-01-24,4.99426666666667,NA,4.99426666666667
2020-01-25,4.81481666666667,NA,4.81481666666667
2020-01-26,4.66158333333333,NA,4.66158333333333
2020-01-27,4.55275416666667,NA,4.55275416666667
2020-01-28,4.33712916666667,NA,4.33712916666667
2020-01-29,4.18770833333333,NA,4.18770833333333
2020-01-30,4.22792916666667,NA,4.22792916666667
2020-01-31,4.01490833333333,NA,4.01490833333333
2020-02-01,3.96427083333333,NA,3.96427083333333
2020-02-02,4.06653333333333,NA,4.06653333333333
2020-02-03,4.07388333333333,NA,4.07388333333333
2020-02-04,4.27451666666667,NA,4.27451666666667
2020-02-05,4.24518333333333,NA,4.24518333333333
2020-02-06,4.06382916666667,NA,4.06382916666667
2020-02-07,3.85112916666667,NA,3.85112916666667
2020-02-08,3.86415416666667,NA,3.86415416666667
2020-02-09,3.79802916666667,NA,3.79802916666667
2020-02-10,3.90991666666667,NA,3.90991666666667
2020-02-11,3.89790416666667,NA,3.89790416666667
2020-02-12,3.86222916666667,NA,3.86222916666667
2020-02-13,3.765375,NA,3.765375
2020-02-14,3.860525,NA,3.860525
2020-02-15,3.8168625,NA,3.8168625
2020-02-16,3.71956666666667,NA,3.71956666666667
2020-02-17,3.7652,NA,3.7652
2020-02-18,3.62336666666667,NA,3.62336666666667
2020-02-19,3.67411666666667,NA,3.67411666666667
2020-02-20,3.65550833333333,NA,3.65550833333333
2020-02-21,3.6163,NA,3.6163
2020-02-22,3.565875,NA,3.565875
2020-02-23,3.55860833333333,NA,3.55860833333333
2020-02-24,3.47722916666667,NA,3.47722916666667
2020-02-25,3.22310416666667,NA,3.22310416666667
2020-02-26,3.25499583333333,NA,3.25499583333333
2020-02-27,3.28480416666667,NA,3.28480416666667
2020-02-28,3.2839625,NA,3.2839625
2020-02-29,3.2993375,NA,3.2993375
2020-03-01,3.32363333333333,NA,3.32363333333333
2020-03-02,3.320775,NA,3.320775
2020-03-03,3.30657916666667,NA,3.30657916666667
2020-03-04,3.2015,NA,3.2015
2020-03-05,3.06657083333333,NA,3.06657083333333
2020-03-06,2.97457083333333,NA,2.97457083333333
2020-03-07,2.97781666666667,NA,2.97781666666667
2020-03-08,2.99910416666667,NA,2.99910416666667
2020-03-09,3.00695,NA,3.00695
2020-03-10,3.01485416666667,NA,3.01485416666667
2020-03-11,2.96963333333333,NA,2.96963333333333
2020-03-12,2.93376666666667,NA,2.93376666666667
2020-03-13,3.07334583333333,NA,3.07334583333333
2020-03-14,3.07750416666667,NA,3.07750416666667
2020-03-15,3.0244,NA,3.0244
2020-03-16,3.08076666666667,NA,3.08076666666667
2020-03-17,3.194225,NA,3.194225
2020-03-18,3.2002,NA,3.2002
2020-03-19,3.21835416666667,NA,3.21835416666667
2020-03-20,3.19712083333333,NA,3.19712083333333
2020-03-21,3.16808333333333,NA,3.16808333333333
2020-03-22,3.167425,NA,3.167425
2020-03-23,3.3145875,NA,3.3145875
2020-03-24,3.2818125,NA,3.2818125
2020-03-25,3.2262875,NA,3.2262875
2020-03-26,3.3196625,NA,3.3196625
2020-03-27,3.4589041666666702,NA,3.4589041666666702
2020-03-28,3.46757083333333,NA,3.46757083333333
2020-03-29,3.43145416666667,NA,3.43145416666667
2020-03-30,3.17060416666667,NA,3.17060416666667
2020-03-31,3.1478,NA,3.1478
2020-04-01,3.16351666666667,NA,3.16351666666667
2020-04-02,3.1496375,NA,3.1496375
2020-04-03,3.26059166666667,NA,3.26059166666667
2020-04-04,3.38867083333333,NA,3.38867083333333
2020-04-05,3.40517916666667,NA,3.40517916666667
2020-04-06,3.423825,NA,3.423825
2020-04-07,3.42772916666667,NA,3.42772916666667
2020-04-08,3.52449166666667,NA,3.52449166666667
2020-04-09,3.49694583333333,NA,3.49694583333333
2020-04-10,3.47383333333333,NA,3.47383333333333
2020-04-11,3.4193375,NA,3.4193375
2020-04-12,3.37864583333333,NA,3.37864583333333
2020-04-13,3.41240416666667,NA,3.41240416666667
2020-04-14,3.381,NA,3.381
2020-04-15,3.36944583333333,NA,3.36944583333333
2020-04-16,3.36646666666667,NA,3.36646666666667
2020-04-17,3.36212083333333,NA,3.36212083333333
2020-04-18,3.38294166666667,NA,3.38294166666667
2020-04-19,3.38044166666667,NA,3.38044166666667
2020-04-20,3.390675,NA,3.390675
2020-04-21,3.41335833333333,NA,3.41335833333333
2020-04-22,3.42086666666667,NA,3.42086666666667
2020-04-23,3.41364166666667,NA,3.41364166666667
2020-04-24,3.37902916666667,NA,3.37902916666667
2020-04-25,3.38353333333333,NA,3.38353333333333
2020-04-26,3.34957083333333,NA,3.34957083333333
2020-04-27,3.3678375,NA,3.3678375
2020-04-28,3.35549166666667,NA,3.35549166666667
2020-04-29,3.33107083333333,NA,3.33107083333333
2020-04-30,3.26100416666667,NA,3.26100416666667
2020-05-01,3.27217916666667,NA,3.27217916666667
2020-05-02,3.21957916666667,NA,3.21957916666667
2020-05-03,3.21539166666667,NA,3.21539166666667
2020-05-04,3.21132083333333,NA,3.21132083333333
2020-05-05,3.20868333333333,NA,3.20868333333333
2020-05-06,3.20808333333333,NA,3.20808333333333
2020-05-07,3.22676666666667,NA,3.22676666666667
2020-05-08,3.22500416666667,NA,3.22500416666667
2020-05-09,3.367925,NA,3.367925
2020-05-10,3.80982083333333,NA,3.80982083333333
2020-05-11,4.04584583333333,NA,4.04584583333333
2020-05-12,4.06539166666667,NA,4.06539166666667
2020-05-13,4.05909166666667,NA,4.05909166666667
2020-05-14,3.95244583333333,NA,3.95244583333333
2020-05-15,3.9586375,NA,3.9586375
2020-05-16,3.94878333333333,NA,3.94878333333333
2020-05-17,3.9732375,NA,3.9732375
2020-05-18,3.9382625,NA,3.9382625
2020-05-19,3.94927083333333,NA,3.94927083333333
2020-05-20,3.92500416666667,NA,3.92500416666667
2020-05-21,3.95715416666667,NA,3.95715416666667
2020-05-22,3.91072916666667,NA,3.91072916666667
2020-05-23,3.83780416666667,NA,3.83780416666667
2020-05-24,3.77004583333333,NA,3.77004583333333
2020-05-25,3.81881666666667,NA,3.81881666666667
2020-05-26,3.8658,NA,3.8658
2020-05-27,3.88298333333333,NA,3.88298333333333
2020-05-28,3.9166625,NA,3.9166625
2020-05-29,4.01118333333333,NA,4.01118333333333
2020-05-30,4.03210416666667,NA,4.03210416666667
2020-05-31,4.01308333333333,NA,4.01308333333333
2020-06-01,3.90024166666667,NA,3.90024166666667
2020-06-02,3.88973333333333,NA,3.88973333333333
2020-06-03,3.79754583333333,NA,3.79754583333333
2020-06-04,3.8097875,NA,3.8097875
2020-06-05,3.88327083333333,NA,3.88327083333333
